brand, price, size, percent_savings, item_link
Sheath,$1'300,4,N/A,https://www.stillwhite.com//198085-sheath
Maggie Sottero,$1'000,4,38%,https://www.stillwhite.com//198074-maggie-sottero
Kellylin Couture,$650,4,50%,https://www.stillwhite.com//185402-kellylin-couture
Maggie Sottero,$550,6,50%,https://www.stillwhite.com//198043-maggie-sottero
A La Robe,$1'500,4,50%,https://www.stillwhite.com//196253-a-la-robe
Grace Loves Lace,$870,4,37%,https://www.stillwhite.com//198011-grace-loves-lace
Morilee,$1'090,6,48%,https://www.stillwhite.com//197979-morilee
Vera Wang White,$900,6,N/A,https://www.stillwhite.com//196512-vera-wang-white
La Sposa,$900,4,52%,https://www.stillwhite.com//197926-la-sposa
A-Line,$1'000,6,N/A,https://www.stillwhite.com//197875-a-line
Custom Gown,$1'380,6,46%,https://www.stillwhite.com//187435-custom-gown
Enzoani,$1'090,6,74%,https://www.stillwhite.com//131235-enzoani
Made With Love,$510,4,67%,https://www.stillwhite.com//197746-made-with-love
Made With Love,$870,6,40%,https://www.stillwhite.com//174269-made-with-love
When Freddie Met Lilly,$1'020,4,18%,https://www.stillwhite.com//197725-when-freddie-met-lilly
Made With Love,$1'400,4,42%,https://www.stillwhite.com//197699-made-with-love
Blue By Enzoani,$990,6,48%,https://www.stillwhite.com//179689-blue-by-enzoani
